date	plate	well	time	od	yfp
2017-10-30	1	C3	168.9333	0.2069	1036
2017-10-30	1	C3	207.0333	0.2268	1617
2017-10-30	1	C3	249.5333	0.2554	1880
2017-10-30	1	C3	297.4833	0.2966	2605
2017-10-30	1	C3	368.7667	0.3131	2753
2017-10-30	1	C3	428.2667	0.3244	2843
2017-10-30	1	C3	494.2667	0.3322	3150
2017-10-30	1	C4	0.0	0.0575	207
2017-10-30	1	C4	82.85	0.0965	202
2017-10-30	1	C4	125.9833	0.1587	291
2017-10-30	1	C4	168.9333	0.2107	698
2017-10-30	1	C4	207.0333	0.2317	986
2017-10-30	1	C4	249.5333	0.2589	1206
2017-10-30	1	C4	297.4833	0.3001	1637
2017-10-30	1	C4	368.7667	0.315	1874
2017-10-30	1	C4	428.2667	0.3251	1816
2017-10-30	1	C4	494.2667	0.3344	1903
2017-10-30	1	C5	0.0	0.0601	4540
2017-10-30	1	C5	82.85	0.1045	8326
2017-10-30	1	C5	125.9833	0.2467	14155
2017-10-30	1	C5	168.9333	0.4466	37386
2017-10-30	1	C5	207.0333	0.4995	53384
2017-10-30	1	C5	249.5333	0.5465	59405
2017-10-30	1	C5	297.4833	0.5917	61206
2017-10-30	1	C5	368.7667	0.629	62033
2017-10-30	1	C5	428.2667	0.6193	58643
2017-10-30	1	C5	494.2667	0.6083	64103
2017-10-30	1	C6	0.0	0.0553	101
2017-10-30	1	C6	82.85	0.0979	216
2017-10-30	1	C6	125.9833	0.234	280
2017-10-30	1	C6	168.9333	0.4445	761
2017-10-30	1	C6	207.0333	0.4932	2842
2017-10-30	1	C6	249.5333	0.5351	4105
2017-10-30	1	C6	297.4833	0.5761	4500
2017-10-30	1	C6	368.7667	0.6191	5645
2017-10-30	1	C6	428.2667	0.6103	5461
2017-10-30	1	C6	494.2667	0.5993	5735
2017-10-30	1	C7	0.0	0.062	176
2017-10-30	1	C7	82.85	0.1026	185
2017-10-30	1	C7	125.9833	0.2492	201
2017-10-30	1	C7	168.9333	0.4514	892
2017-10-30	1	C7	207.0333	0.4983	1959
2017-10-30	1	C7	249.5333	0.5404	2219
2017-10-30	1	C7	297.4833	0.5827	2696
2017-10-30	1	C7	368.7667	0.621	3215
2017-10-30	1	C7	428.2667	0.6122	3134
2017-10-30	1	C7	494.2667	0.6007	3233
2017-10-30	1	C8	0.0	0.0552	4362
2017-10-30	1	C8	82.85	0.105	7576
2017-10-30	1	C8	125.9833	0.1993	11881
2017-10-30	1	C8	168.9333	0.2526	21189
2017-10-30	1	C8	207.0333	0.2815	27191
2017-10-30	1	C8	249.5333	0.3176	31863
2017-10-30	1	C8	297.4833	0.3725	42751
2017-10-30	1	C8	368.7667	0.3965	50491
2017-10-30	1	C8	428.2667	0.4027	51787
2017-10-30	1	C8	494.2667	0.4088	53574
2017-10-30	1	C9	0.0	0.0524	134
2017-10-30	1	C9	82.85	0.1048	236
2017-10-30	1	C9	125.9833	0.1977	359
2017-10-30	1	C9	168.9333	0.252	1218
2017-10-30	1	C9	207.0333	0.2743	1919
2017-10-30	1	C9	249.5333	0.3183	2245
2017-10-30	1	C9	297.4833	0.3717	2973
2017-10-30	1	C9	368.7667	0.3893	3577
2017-10-30	1	C9	428.2667	0.3966	3404
2017-10-30	1	C9	494.2667	0.4018	3736
2017-10-30	1	D10	0.0	0.0434	74
2017-10-30	1	D10	82.85	0.1017	57
2017-10-30	1	D10	125.9833	0.1944	70
2017-10-30	1	D10	168.9333	0.2467	148
2017-10-30	1	D10	207.0333	0.2674	226
2017-10-30	1	D10	249.5333	0.3093	112
2017-10-30	1	D10	297.4833	0.364	135
2017-10-30	1	D10	368.7667	0.3825	161
2017-10-30	1	D10	428.2667	0.3886	152
2017-10-30	1	D10	494.2667	0.3956	150
2017-10-30	1	D2	0.0	0.0526	485
2017-10-30	1	D2	82.85	0.0933	1010
2017-10-30	1	D2	125.9833	0.1515	1383
2017-10-30	1	D2	168.9333	0.2045	1880
2017-10-30	1	D2	207.0333	0.2231	2554
2017-10-30	1	D2	249.5333	0.2515	3254
2017-10-30	1	D2	297.4833	0.2935	3949
2017-10-30	1	D2	368.7667	0.3134	4241
2017-10-30	1	D2	428.2667	0.3256	4333
2017-10-30	1	D2	494.2667	0.335	4457
2017-10-30	1	D3	0.0	0.0561	273
2017-10-30	1	D3	82.85	0.0911	340
2017-10-30	1	D3	125.9833	0.1512	454
2017-10-30	1	D3	168.9333	0.2029	738
2017-10-30	1	D3	207.0333	0.2228	1216
2017-10-30	1	D3	249.5333	0.2508	1240
2017-10-30	1	D3	297.4833	0.2919	1609
2017-10-30	1	D3	368.7667	0.3087	1865
2017-10-30	1	D3	428.2667	0.3194	1953
2017-10-30	1	D3	494.2667	0.3267	2076
2017-10-30	1	D4	0.0	0.0532	57
2017-10-30	1	D4	82.85	0.0976	47
2017-10-30	1	D4	125.9833	0.1612	71
2017-10-30	1	D4	168.9333	0.2134	133
2017-10-30	1	D4	207.0333	0.236	226
2017-10-30	1	D4	249.5333	0.2653	92
2017-10-30	1	D4	297.4833	0.3052	111
2017-10-30	1	D4	368.7667	0.3174	132
2017-10-30	1	D4	428.2667	0.3276	135
2017-10-30	1	D4	494.2667	0.3342	131
2017-10-30	1	D5	0.0	0.0572	825
2017-10-30	1	D5	82.85	0.098	1097
2017-10-30	1	D5	125.9833	0.2353	1639
2017-10-30	1	D5	168.9333	0.4383	3341
2017-10-30	1	D5	207.0333	0.4906	4589
2017-10-30	1	D5	249.5333	0.5346	5197
2017-10-30	1	D5	297.4833	0.5782	6129
2017-10-30	1	D5	368.7667	0.6182	7949
2017-10-30	1	D5	428.2667	0.6079	7726
2017-10-30	1	D5	494.2667	0.5971	7968
2017-10-30	1	D6	0.0	0.0719	489
2017-10-30	1	D6	82.85	0.096	330
2017-10-30	1	D6	125.9833	0.2265	449
2017-10-30	1	D6	168.9333	0.4382	1079
2017-10-30	1	D6	207.0333	0.4868	1766
2017-10-30	1	D6	249.5333	0.5309	2060
2017-10-30	1	D6	297.4833	0.5722	2616
2017-10-30	1	D6	368.7667	0.6164	3460
2017-10-30	1	D6	428.2667	0.607	3412
2017-10-30	1	D6	494.2667	0.596	3736
2017-10-30	1	D7	0.0	0.0619	61
2017-10-30	1	D7	82.85	0.097	59
2017-10-30	1	D7	125.9833	0.2301	60
2017-10-30	1	D7	168.9333	0.4401	61
2017-10-30	1	D7	207.0333	0.4853	235
2017-10-30	1	D7	249.5333	0.5275	116
2017-10-30	1	D7	297.4833	0.5674	132
2017-10-30	1	D7	368.7667	0.613	191
2017-10-30	1	D7	428.2667	0.6039	177
2017-10-30	1	D7	494.2667	0.5927	161
2017-10-30	1	D8	0.0	0.0615	854
2017-10-30	1	D8	82.85	0.1006	931
2017-10-30	1	D8	125.9833	0.1907	1376
2017-10-30	1	D8	168.9333	0.244	2124
2017-10-30	1	D8	207.0333	0.2663	2863
2017-10-30	1	D8	249.5333	0.3063	3414
2017-10-30	1	D8	297.4833	0.3583	4576
2017-10-30	1	D8	368.7667	0.3794	5163
2017-10-30	1	D8	428.2667	0.385	5123
2017-10-30	1	D8	494.2667	0.3904	5256
2017-10-30	1	D9	0.0	0.0475	274
2017-10-30	1	D9	82.85	0.1007	358
2017-10-30	1	D9	125.9833	0.1916	474
2017-10-30	1	D9	168.9333	0.2431	838
2017-10-30	1	D9	207.0333	0.2657	1202
2017-10-30	1	D9	249.5333	0.3063	1471
2017-10-30	1	D9	297.4833	0.3577	1890
2017-10-30	1	D9	368.7667	0.378	2351
2017-10-30	1	D9	428.2667	0.3843	2393
2017-10-30	1	D9	494.2667	0.3902	2475
2017-10-30	1	E10	0.0	0.0434	50
2017-10-30	1	E10	82.85	0.1034	60
2017-10-30	1	E10	125.9833	0.1943	64
2017-10-30	1	E10	168.9333	0.2453	140
2017-10-30	1	E10	207.0333	0.2671	215
2017-10-30	1	E10	249.5333	0.3127	115
2017-10-30	1	E10	297.4833	0.3675	150
2017-10-30	1	E10	368.7667	0.3836	134
2017-10-30	1	E10	428.2667	0.391	139
2017-10-30	1	E10	494.2667	0.3985	152
2017-10-30	1	E2	0.0	0.0557	515
2017-10-30	1	E2	82.85	0.1067	1043
2017-10-30	1	E2	125.9833	0.172	1334
2017-10-30	1	E2	168.9333	0.2188	1945
2017-10-30	1	E2	207.0333	0.2388	2752
2017-10-30	1	E2	249.5333	0.2647	3183
2017-10-30	1	E2	297.4833	0.3037	4117
2017-10-30	1	E2	368.7667	0.3197	4343
2017-10-30	1	E2	428.2667	0.3305	4511
2017-10-30	1	E2	494.2667	0.3388	4496
2017-10-30	1	E3	0.0	0.0601	329
2017-10-30	1	E3	82.85	0.102	351
2017-10-30	1	E3	125.9833	0.1699	435
2017-10-30	1	E3	168.9333	0.2158	732
2017-10-30	1	E3	207.0333	0.2375	1102
2017-10-30	1	E3	249.5333	0.261	1326
2017-10-30	1	E3	297.4833	0.301	1656
2017-10-30	1	E3	368.7667	0.3146	1958
2017-10-30	1	E3	428.2667	0.3235	1864
2017-10-30	1	E3	494.2667	0.3315	2053
2017-10-30	1	E4	0.0	0.0579	49
2017-10-30	1	E4	82.85	0.1055	42
2017-10-30	1	E4	125.9833	0.173	84
2017-10-30	1	E4	168.9333	0.2181	134
2017-10-30	1	E4	207.0333	0.2411	208
2017-10-30	1	E4	249.5333	0.2664	102
2017-10-30	1	E4	297.4833	0.3061	119
2017-10-30	1	E4	368.7667	0.3174	107
2017-10-30	1	E4	428.2667	0.3268	130
2017-10-30	1	E4	494.2667	0.3334	108
2017-10-30	1	E5	0.0	0.0581	786
2017-10-30	1	E5	82.85	0.108	1095
2017-10-30	1	E5	125.9833	0.2682	1482
2017-10-30	1	E5	168.9333	0.4695	3279
2017-10-30	1	E5	207.0333	0.5102	4632
2017-10-30	1	E5	249.5333	0.5462	5069
2017-10-30	1	E5	297.4833	0.5898	6115
2017-10-30	1	E5	368.7667	0.6261	7698
2017-10-30	1	E5	428.2667	0.6148	7422
2017-10-30	1	E5	494.2667	0.6048	7949
2017-10-30	1	E6	0.0	0.0665	434
2017-10-30	1	E6	82.85	0.1019	344
2017-10-30	1	E6	125.9833	0.249	433
2017-10-30	1	E6	168.9333	0.4605	1033
2017-10-30	1	E6	207.0333	0.4983	1882
2017-10-30	1	E6	249.5333	0.5349	2171
2017-10-30	1	E6	297.4833	0.5773	2803
2017-10-30	1	E6	368.7667	0.6154	3447
2017-10-30	1	E6	428.2667	0.6058	3577
2017-10-30	1	E6	494.2667	0.5936	3690
2017-10-30	1	E7	0.0	0.054	43
2017-10-30	1	E7	82.85	0.1041	51
2017-10-30	1	E7	125.9833	0.2566	78
2017-10-30	1	E7	168.9333	0.458	57
2017-10-30	1	E7	207.0333	0.498	216
2017-10-30	1	E7	249.5333	0.5346	93
2017-10-30	1	E7	297.4833	0.5749	144
2017-10-30	1	E7	368.7667	0.6172	156
2017-10-30	1	E7	428.2667	0.6065	167
2017-10-30	1	E7	494.2667	0.5965	152
2017-10-30	1	E8	0.0	0.0541	537
2017-10-30	1	E8	82.85	0.1038	909
2017-10-30	1	E8	125.9833	0.2005	1381
2017-10-30	1	E8	168.9333	0.2483	2214
2017-10-30	1	E8	207.0333	0.2724	2956
2017-10-30	1	E8	249.5333	0.3121	3565
2017-10-30	1	E8	297.4833	0.3662	4628
2017-10-30	1	E8	368.7667	0.3873	5231
2017-10-30	1	E8	428.2667	0.3917	5172
2017-10-30	1	E8	494.2667	0.3978	5473
2017-10-30	1	E9	0.0	0.046	116
2017-10-30	1	E9	82.85	0.102	341
2017-10-30	1	E9	125.9833	0.1973	456
2017-10-30	1	E9	168.9333	0.2439	908
2017-10-30	1	E9	207.0333	0.2676	1297
2017-10-30	1	E9	249.5333	0.3055	1495
2017-10-30	1	E9	297.4833	0.3589	1909
2017-10-30	1	E9	368.7667	0.3807	2357
2017-10-30	1	E9	428.2667	0.3865	2528
2017-10-30	1	E9	494.2667	0.3935	2729
2017-10-30	1	F2	0.0	0.0566	71
2017-10-30	1	F2	82.85	0.1109	266
2017-10-30	1	F2	125.9833	0.1776	543
2017-10-30	1	F2	168.9333	0.2271	890
2017-10-30	1	F2	207.0333	0.2475	1139
2017-10-30	1	F2	249.5333	0.2753	1237
2017-10-30	1	F2	297.4833	0.3116	1761
2017-10-30	1	F2	368.7667	0.3284	1833
2017-10-30	1	F2	428.2667	0.3392	1788
2017-10-30	1	F2	494.2667	0.3483	1804
2017-10-30	1	F3	0.0	0.0488	68
2017-10-30	1	F3	82.85	0.1091	106
2017-10-30	1	F3	125.9833	0.1732	192
2017-10-30	1	F3	168.9333	0.2198	536
2017-10-30	1	F3	207.0333	0.2432	864
2017-10-30	1	F3	249.5333	0.2693	1067
2017-10-30	1	F3	297.4833	0.3084	1454
2017-10-30	1	F3	368.7667	0.3226	1645
2017-10-30	1	F3	428.2667	0.3342	1639
2017-10-30	1	F3	494.2667	0.3428	1677
2017-10-30	1	F5	0.0	0.0529	72
2017-10-30	1	F5	82.85	0.1092	200
2017-10-30	1	F5	125.9833	0.274	372
2017-10-30	1	F5	168.9333	0.4855	675
2017-10-30	1	F5	207.0333	0.5203	1025
2017-10-30	1	F5	249.5333	0.5562	1062
2017-10-30	1	F5	297.4833	0.6006	1247
2017-10-30	1	F5	368.7667	0.6348	1562
2017-10-30	1	F5	428.2667	0.6239	1758
2017-10-30	1	F5	494.2667	0.6125	1796
2017-10-30	1	F6	0.0	0.0611	74
2017-10-30	1	F6	82.85	0.1055	103
2017-10-30	1	F6	125.9833	0.2609	156
2017-10-30	1	F6	168.9333	0.4676	455
2017-10-30	1	F6	207.0333	0.5086	980
2017-10-30	1	F6	249.5333	0.5459	1214
2017-10-30	1	F6	297.4833	0.5881	1592
2017-10-30	1	F6	368.7667	0.6253	1917
2017-10-30	1	F6	428.2667	0.615	1876
2017-10-30	1	F6	494.2667	0.6034	1941
2017-10-30	1	F8	0.0	0.0486	57
2017-10-30	1	F8	82.85	0.1074	136
2017-10-30	1	F8	125.9833	0.208	314
2017-10-30	1	F8	168.9333	0.2569	879
2017-10-30	1	F8	207.0333	0.2805	1133
2017-10-30	1	F8	249.5333	0.3234	1298
2017-10-30	1	F8	297.4833	0.3799	1745
2017-10-30	1	F8	368.7667	0.3992	1977
2017-10-30	1	F8	428.2667	0.406	1954
2017-10-30	1	F8	494.2667	0.4154	2079
2017-10-30	1	F9	0.0	0.0435	65
2017-10-30	1	F9	82.85	0.1059	98
2017-10-30	1	F9	125.9833	0.2036	170
2017-10-30	1	F9	168.9333	0.254	667
2017-10-30	1	F9	207.0333	0.2774	1126
2017-10-30	1	F9	249.5333	0.3234	1282
2017-10-30	1	F9	297.4833	0.3792	1652
2017-10-30	1	F9	368.7667	0.3975	2008
2017-10-30	1	F9	428.2667	0.4058	2016
2017-10-30	1	F9	494.2667	0.4142	2003
2017-10-30	1	G2	0.0	0.0488	62
2017-10-30	1	G2	82.85	0.1121	237
2017-10-30	1	G2	125.9833	0.178	525
2017-10-30	1	G2	168.9333	0.229	897
2017-10-30	1	G2	207.0333	0.2494	1146
2017-10-30	1	G2	249.5333	0.2771	1391
2017-10-30	1	G2	297.4833	0.3148	1755
2017-10-30	1	G2	368.7667	0.3332	1874
2017-10-30	1	G2	428.2667	0.3452	1830
2017-10-30	1	G2	494.2667	0.3542	2024
2017-10-30	1	G3	0.0	0.0441	45
2017-10-30	1	G3	82.85	0.1101	105
2017-10-30	1	G3	125.9833	0.1763	158
2017-10-30	1	G3	168.9333	0.2247	542
2017-10-30	1	G3	207.0333	0.2466	992
2017-10-30	1	G3	249.5333	0.2739	1070
2017-10-30	1	G3	297.4833	0.3139	1566
2017-10-30	1	G3	368.7667	0.3299	1655
2017-10-30	1	G3	428.2667	0.3418	1660
2017-10-30	1	G3	494.2667	0.3516	1732
2017-10-30	1	G5	0.0	0.0501	75
2017-10-30	1	G5	82.85	0.1081	250
2017-10-30	1	G5	125.9833	0.266	340
2017-10-30	1	G5	168.9333	0.483	701
2017-10-30	1	G5	207.0333	0.5235	1094
2017-10-30	1	G5	249.5333	0.5593	1031
2017-10-30	1	G5	297.4833	0.6053	1351
2017-10-30	1	G5	368.7667	0.6365	1729
2017-10-30	1	G5	428.2667	0.6257	1674
2017-10-30	1	G5	494.2667	0.6147	1790
2017-10-30	1	G6	0.0	0.0458	70
2017-10-30	1	G6	82.85	0.1076	76
2017-10-30	1	G6	125.9833	0.2662	142
2017-10-30	1	G6	168.9333	0.4705	431
2017-10-30	1	G6	207.0333	0.5142	1038
2017-10-30	1	G6	249.5333	0.551	1210
2017-10-30	1	G6	297.4833	0.5952	1856
2017-10-30	1	G6	368.7667	0.6269	2014
2017-10-30	1	G6	428.2667	0.6159	2020
2017-10-30	1	G6	494.2667	0.6044	2049
2017-10-30	1	G8	0.0	0.043	39
2017-10-30	1	G8	82.85	0.1088	163
2017-10-30	1	G8	125.9833	0.2072	381
2017-10-30	1	G8	168.9333	0.2605	907
