well,strain,genotype,medium,serine_mM,replicate,plate
B2,ecMK85,WT,minimal,1.5,1,1
C2,ecMK85,WT,minimal,1.5,2,1
D2,ecMK85,WT,minimal,1.5,3,1
B4,ecMK101,sdaA,minimal,1.5,1,1
C4,ecMK101,sdaA,minimal,1.5,2,1
D4,ecMK101,sdaA,minimal,1.5,3,1
B6,ecMK102,sdaCB,minimal,1.5,1,1
C6,ecMK102,sdaCB,minimal,1.5,2,1
D6,ecMK102,sdaCB,minimal,1.5,3,1
B8,ecMK210,tdcG,minimal,1.5,1,1
C8,ecMK210,tdcG,minimal,1.5,2,1
D8,ecMK210,tdcG,minimal,1.5,3,1
