time	well	yfp	od
13896	C6	96	0.35769999
13896	D6	77	0.761799991
13896	E6	102	0.769200027
13896	F6	NA	0.785600007
13896	G6	44997	0.780200005
13896	H6	38	0.0392
13896	A7	37	0.039000001
13896	B7	97	0.206599995
13896	C7	110	0.289700001
13896	D7	56	0.279300004
13896	E7	59	0.248600006
13896	F7	13385	0.256999999
13896	G7	844	0.256300002
13896	H7	37	0.039000001
13896	A8	39	0.0385
13896	B8	80	0.163000003
13896	C8	86	0.209999993
13896	D8	54	0.27610001
13896	E8	63	0.240899995
13896	F8	13211	0.252299994
13896	G8	822	0.25
13896	H8	39	0.0407
13896	A9	38	0.038899999
13896	B9	72	0.121399999
13896	C9	82	0.155599996
13896	D9	53	0.280499995
13896	E9	59	0.236100003
13896	F9	13303	0.250499994
13896	G9	827	0.249400005
13896	H9	36	0.039500002
13896	A10	35	0.0396
13896	B10	38	0.039799999
13896	C10	37	0.039500002
13896	D10	36	0.039999999
13896	E10	34	0.038800001
13896	F10	41	0.0414
13896	G10	37	0.0405
13896	H10	37	0.039500002
13896	A11	34	0.0392
13896	B11	35	0.040199999
13896	C11	36	0.040100001
13896	D11	34	0.039500002
13896	E11	36	0.039299998
13896	F11	38	0.0405
13896	G11	36	0.0392
13896	H11	39	0.039700001
13896	A12	36	0.037999999
13896	B12	35	0.039999999
13896	C12	37	0.038699999
13896	D12	35	0.039099999
13896	E12	38	0.0392
13896	F12	37	0.0407
13896	G12	37	0.037999999
13896	H12	38	0.039900001
16803	A1	35	0.038699999
16803	B1	35	0.0385
16803	C1	36	0.037500001
16803	D1	34	0.038800001
16803	E1	36	0.037500001
16803	F1	39	0.0381
16803	G1	38	0.039799999
16803	H1	39	0.037799999
16803	A2	38	0.0383
16803	B2	34	0.038699999
16803	C2	32	0.037799999
16803	D2	36	0.038800001
16803	E2	36	0.0383
16803	F2	39	0.0394
16803	G2	39	0.039799999
16803	H2	36	0.0396
16803	A3	36	0.0396
16803	B3	35	0.039000001
16803	C3	37	0.0385
16803	D3	38	0.039500002
16803	E3	38	0.038199998
16803	F3	41	0.037999999
16803	G3	36	0.039299998
16803	H3	39	0.039500002
16803	A4	36	0.0381
16803	B4	95	0.305200011
16803	C4	103	0.412800014
16803	D4	84	0.765500009
16803	E4	109	0.77640003
16803	F4	NA	0.779100001
16803	G4	44092	0.772899985
16803	H4	40	0.038899999
16803	A5	35	0.038699999
16803	B5	101	0.301099986
16803	C5	102	0.399899989
16803	D5	77	0.761799991
16803	E5	104	0.765900016
16803	F5	NA	0.780399978
16803	G5	49210	0.7676
16803	H5	40	0.0392
16803	A6	36	0.0385
16803	B6	94	0.303499997
16803	C6	101	0.408399999
16803	D6	80	0.759800017
16803	E6	109	0.760599971
16803	F6	NA	0.774999976
16803	G6	46892	0.771300018
16803	H6	38	0.0385
16803	A7	37	0.038899999
16803	B7	94	0.241300002
16803	C7	102	0.323100001
16803	D7	67	0.411199987
16803	E7	69	0.256000012
16803	F7	13434	0.264800012
16803	G7	852	0.265799999
16803	H7	37	0.039000001
16803	A8	36	0.0374
16803	B8	96	0.211700007
16803	C8	101	0.287900001
16803	D8	70	0.405999988
16803	E8	72	0.250699997
16803	F8	13290	0.260699987
16803	G8	841	0.259799987
16803	H8	37	0.040199999
16803	A9	36	0.038600001
16803	B9	82	0.151999995
16803	C9	91	0.208800003
16803	D9	68	0.410299987
16803	E9	70	0.247299999
16803	F9	13372	0.261000007
16803	G9	847	0.25999999
16803	H9	38	0.0396
16803	A10	36	0.038600001
16803	B10	37	0.038600001
16803	C10	37	0.038800001
16803	D10	35	0.039900001
16803	E10	38	0.037900001
16803	F10	36	0.039999999
16803	G10	36	0.039299998
16803	H10	42	0.0414
16803	A11	35	0.0383
16803	B11	35	0.038699999
16803	C11	34	0.038699999
16803	D11	34	0.038600001
16803	E11	36	0.0385
16803	F11	38	0.0392
16803	G11	37	0.0383
16803	H11	40	0.0394
16803	A12	36	0.0383
16803	B12	35	0.039099999
16803	C12	36	0.038600001
16803	D12	35	0.039700001
16803	E12	37	0.0385
16803	F12	39	0.039099999
16803	G12	39	0.037
16803	H12	38	0.0396
18583	A1	35	0.0392
18583	B1	35	0.039000001
18583	C1	36	0.037900001
18583	D1	35	0.039000001
18583	E1	35	0.0385
18583	F1	40	0.038899999
18583	G1	38	0.042100001
18583	H1	38	0.038600001
18583	A2	37	0.038699999
18583	B2	33	0.039099999
18583	C2	34	0.037900001
18583	D2	32	0.039099999
18583	E2	37	0.037799999
18583	F2	35	0.038400002
18583	G2	38	0.0396
18583	H2	37	0.0396
18583	A3	37	0.040100001
18583	B3	36	0.0394
18583	C3	34	0.038800001
18583	D3	38	0.040100001
18583	E3	34	0.038199998
18583	F3	39	0.038400002
18583	G3	37	0.040199999
18583	H3	38	0.039999999
18583	A4	36	0.0392
18583	B4	103	0.309100002
18583	C4	105	0.416900009
18583	D4	84	0.761300027
18583	E4	105	0.770399988
18583	F4	NA	0.773100019
18583	G4	41677	0.765900016
18583	H4	38	0.038899999
18583	A5	35	0.038699999
18583	B5	99	0.305999994
18583	C5	102	0.410299987
18583	D5	77	0.755599976
18583	E5	105	0.757600009
18583	F5	NA	0.771799982
18583	G5	47177	0.760500014
18583	H5	41	0.038600001
18583	A6	36	0.038199998
18583	B6	97	0.303799987
18583	C6	101	0.40990001
18583	D6	83	0.753700018
18583	E6	105	0.754100025
18583	F6	NA	0.768400013
18583	G6	44613	0.765600026
18583	H6	40	0.039299998
18583	A7	37	0.039000001
18583	B7	98	0.243699998
18583	C7	101	0.327699989
18583	D7	82	0.418500006
18583	E7	73	0.258100003
18583	F7	13472	0.267500013
18583	G7	877	0.268700004
18583	H7	38	0.0392
18583	A8	35	0.0383
18583	B8	94	0.2368
18583	C8	102	0.309700012
18583	D8	79	0.413300008
18583	E8	75	0.252400011
18583	F8	13337	0.263000011
18583	G8	856	0.261999995
18583	H8	37	0.041299999
18583	A9	36	0.039099999
18583	B9	88	0.189500004
18583	C9	99	0.264499992
18583	D9	78	0.418500006
18583	E9	76	0.248899996
18583	F9	13384	0.262499988
18583	G9	863	0.261900008
18583	H9	37	0.040100001
18583	A10	36	0.038699999
18583	B10	34	0.038600001
18583	C10	36	0.038699999
18583	D10	37	0.039900001
18583	E10	37	0.0383
18583	F10	37	0.040199999
18583	G10	37	0.039500002
18583	H10	38	0.042100001
18583	A11	34	0.038800001
18583	B11	37	0.0396
18583	C11	33	0.0392
18583	D11	35	0.039000001
18583	E11	37	0.038800001
18583	F11	36	0.039500002
18583	G11	36	0.038600001
18583	H11	36	0.0396
18583	A12	36	0.0383
18583	B12	35	0.039299998
18583	C12	34	0.038600001
18583	D12	35	0.039799999
18583	E12	38	0.038699999
18583	F12	37	0.039299998
18583	G12	38	0.037500001
18583	H12	37	0.040600002
