well,strain,genotype,carbon,serine_mM,replicate,plate
B9,ecMK85,WT,.025%_glucose,0,1,1
C9,ecMK85,WT,.025%_glucose,0,2,1
D9,ecMK85,WT,.025%_glucose,0,3,1
E9,ecMK102,sdaCB,.025%_glucose,0,1,1
F9,ecMK102,sdaCB,.025%_glucose,0,2,1
G9,ecMK102,sdaCB,.025%_glucose,0,3,1
B11,ecMK85,WT,.025%_glycerol,0,1,1
C11,ecMK85,WT,.025%_glycerol,0,2,1
D11,ecMK85,WT,.025%_glycerol,0,3,1
E11,ecMK102,sdaCB,.025%_glycerol,0,1,1
F11,ecMK102,sdaCB,.025%_glycerol,0,2,1
G11,ecMK102,sdaCB,.025%_glycerol,0,3,1
