well,strain,genotype,plasmid,medium,replicate,plate
B2,ecMK85,WT,none,lysis,1,1
B3,ecMK180,del_sdaC,none,lysis,1,1
B4,ecMK184,WT,sdaC,lysis,1,1
B5,ecMK185,sdaCB,sdaC,lysis,1,1
B6,ecMK186,del_sdaC,sdaC,lysis,1,1
B7,ecMK85,WT,none,-gly,1,1
B8,ecMK85,WT,none,-ala,1,1
B9,ecMK85,WT,none,+1mM_ala,1,1
B10,ecMK85,WT,none,+.0125%_pyr,1,1
C2,ecMK85,WT,none,lysis,2,1
C3,ecMK180,del_sdaC,none,lysis,2,1
C4,ecMK184,WT,sdaC,lysis,2,1
C5,ecMK185,sdaCB,sdaC,lysis,2,1
C6,ecMK186,del_sdaC,sdaC,lysis,2,1
C7,ecMK85,WT,none,-gly,2,1
C8,ecMK85,WT,none,-ala,2,1
C9,ecMK85,WT,none,+1mM_ala,2,1
C10,ecMK85,WT,none,+.0125%_pyr,2,1
D2,ecMK85,WT,none,lysis,3,1
D3,ecMK180,del_sdaC,none,lysis,3,1
D4,ecMK184,WT,sdaC,lysis,3,1
D5,ecMK185,sdaCB,sdaC,lysis,3,1
D6,ecMK186,del_sdaC,sdaC,lysis,3,1
D7,ecMK85,WT,none,-gly,3,1
D8,ecMK85,WT,none,-ala,3,1
D9,ecMK85,WT,none,+1mM_ala,3,1
D10,ecMK85,WT,none,+.0125%_pyr,3,1
E2,ecMK102,sdaCB,none,lysis,1,1
E4,ecMK187,WT,sdaB,lysis,1,1
E5,ecMK188,sdaCB,sdaB,lysis,1,1
E6,ecMK189,del_sdaC,sdaB,lysis,1,1
E7,ecMK180,del_sdaC,none,-gly,1,1
E8,ecMK180,del_sdaC,none,-ala,1,1
E9,ecMK180,del_sdaC,none,+1mM_ala,1,1
E10,ecMK180,del_sdaC,none,+.0125%_pyr,1,1
F2,ecMK102,sdaCB,none,lysis,2,1
F4,ecMK187,WT,sdaB,lysis,2,1
F5,ecMK188,sdaCB,sdaB,lysis,2,1
F6,ecMK189,del_sdaC,sdaB,lysis,2,1
F7,ecMK180,del_sdaC,none,-gly,2,1
F8,ecMK180,del_sdaC,none,-ala,2,1
F9,ecMK180,del_sdaC,none,+1mM_ala,2,1
F10,ecMK180,del_sdaC,none,+.0125%_pyr,2,1
G2,ecMK102,sdaCB,none,lysis,3,1
G4,ecMK187,WT,sdaB,lysis,3,1
G5,ecMK188,sdaCB,sdaB,lysis,3,1
G6,ecMK189,del_sdaC,sdaB,lysis,3,1
G7,ecMK180,del_sdaC,none,-gly,3,1
G8,ecMK180,del_sdaC,none,-ala,3,1
G9,ecMK180,del_sdaC,none,+1mM_ala,3,1
G10,ecMK180,del_sdaC,none,+.0125%_pyr,3,1
